sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s,draft_vocab_convert_time_ms,draft_prompt_sync_time_ms,draft_decode_time_ms,draft_sampling_time_ms,draft_other_time_ms,draft_returned_tokens,draft_effective_tokens,target_verify_batch_tokens,draft_prompt_decode_calls,draft_prompt_decode_tokens,draft_decode_calls,draft_decode_tokens,target_verify_calls,draft_tok_per_s_in_spec,draft_decode_tok_per_s,verify_tok_per_s,draft_reuse_scan_time_ms,draft_kv_cache_edit_time_ms,draft_prompt_catchup_decode_time_ms,draft_eager_kv_decode_time_ms,draft_eager_kv_decode_calls,draft_eager_kv_decode_tokens
0,true_target_only,7135.166,0.000,7116.929,13.703,65,0,0,0.000000,9.110,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.133,0.000,0.000,0.000,0.000,0,0
1,spec_draft_max_0,10612.489,2063.493,8522.366,19.941,65,0,0,0.000000,6.125,0.000,844.107,1216.214,2.958,0.214,0,0,65,1,212,65,65,65,0.000,53.445,7.627,0.074,0.074,843.758,0.000,0,0
2,speculative,10015.494,2641.336,7353.394,18.968,67,68,44,0.647059,6.690,0.000,888.744,1735.171,14.996,2.425,68,68,91,1,212,91,91,23,25.745,52.444,12.375,0.030,0.593,887.771,418.398,23,23
3,true_target_only,6944.586,0.000,6925.786,14.297,65,0,0,0.000000,9.360,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.385,0.000,0.000,0.000,0.000,0,0
4,spec_draft_max_0,10838.404,2079.581,8737.380,15.745,65,0,0,0.000000,5.997,0.000,863.084,1212.392,3.901,0.204,0,0,65,1,212,65,65,65,0.000,53.613,7.439,0.071,0.099,861.550,0.000,0,0
5,speculative,10798.534,2729.610,8049.452,16.869,65,58,46,0.793103,6.019,0.000,1120.990,1588.147,19.347,1.126,58,58,77,1,212,77,77,19,21.248,48.484,9.566,0.025,0.617,1119.974,387.725,19,19
6,true_target_only,7113.640,0.000,7093.564,15.815,65,0,0,0.000000,9.137,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.163,0.000,0.000,0.000,0.000,0,0
7,spec_draft_max_0,11591.971,2288.081,9284.248,15.238,65,0,0,0.000000,5.607,0.000,960.548,1324.312,3.014,0.207,0,0,65,1,212,65,65,65,0.000,49.082,7.001,0.079,0.090,959.022,0.000,0,0
8,speculative,12503.579,4806.617,7679.608,14.465,65,60,44,0.733333,5.199,0.000,3147.498,1643.820,14.118,1.181,60,60,81,1,212,81,81,21,12.483,49.275,10.547,0.025,0.515,3145.768,405.986,21,21
