sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s
0,true_target_only,17496.559,0.000,17446.311,39.623,161,0,0,0.000000,9.202
1,spec_draft_max_0,23132.475,5980.090,17098.191,42.948,161,0,0,0.000000,6.960
2,speculative,34159.317,9758.600,24362.801,31.706,165,136,98,0.720588,4.830
3,true_target_only,17468.190,0.000,17419.212,38.536,161,0,0,0.000000,9.217
4,spec_draft_max_0,14832.581,3661.740,11117.266,40.712,161,0,0,0.000000,10.854
5,speculative,14973.785,3865.114,11054.441,46.414,162,138,91,0.659420,10.819
6,true_target_only,12300.855,0.000,12236.490,47.424,161,0,0,0.000000,13.089
7,spec_draft_max_0,16090.876,4021.781,12008.383,46.412,161,0,0,0.000000,10.006
8,speculative,14749.097,3967.684,10730.356,44.246,161,137,95,0.693431,10.916
9,true_target_only,11704.721,0.000,11643.431,46.969,161,0,0,0.000000,13.755
10,spec_draft_max_0,16203.352,3976.465,12165.602,47.481,161,0,0,0.000000,9.936
11,speculative,13923.893,4085.822,9789.366,43.461,161,139,104,0.748201,11.563
12,true_target_only,12066.334,0.000,12007.191,45.665,161,0,0,0.000000,13.343
13,spec_draft_max_0,15903.118,3909.620,11931.808,47.792,161,0,0,0.000000,10.124
14,speculative,15070.889,4174.306,10843.588,46.307,162,136,98,0.720588,10.749
