sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s
0,true_target_only,11646.853,0.000,11587.243,45.806,161,0,0,0.000000,13.823
1,spec_draft_max_0,15511.482,3818.061,11634.549,45.289,161,0,0,0.000000,10.379
2,speculative,16052.822,4242.834,11754.900,47.442,164,159,92,0.578616,10.216
3,true_target_only,12817.416,0.000,12743.818,57.570,161,0,0,0.000000,12.561
4,spec_draft_max_0,15709.883,3871.851,11776.954,46.651,161,0,0,0.000000,10.248
5,speculative,13194.270,4014.868,9130.394,44.050,161,147,111,0.755102,12.202
6,true_target_only,11987.946,0.000,11926.256,47.770,161,0,0,0.000000,13.430
7,spec_draft_max_0,16530.927,3988.323,12481.745,46.923,161,0,0,0.000000,9.739
8,speculative,15455.269,4029.676,11370.256,47.503,161,144,89,0.618056,10.417
9,true_target_only,11628.610,0.000,11568.289,47.233,161,0,0,0.000000,13.845
10,spec_draft_max_0,16924.426,4188.281,12687.826,38.014,161,0,0,0.000000,9.513
11,speculative,16169.451,4176.725,11941.017,44.717,161,152,90,0.592105,9.957
12,true_target_only,11636.576,0.000,11575.920,46.160,161,0,0,0.000000,13.836
13,spec_draft_max_0,15632.545,3817.436,11752.692,46.981,161,0,0,0.000000,10.299
14,speculative,13435.892,4128.092,9253.898,48.081,165,149,117,0.785235,12.281
