mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,3,6667.056333,84.785182,6699.122000,6570.915000,6731.132000,0.000000,0.000000,0.000000,0.000000,0.000000,6647.588000,84.723182,6679.882000,6551.467000,6711.415000,14.960000,0.094573,14.948000,14.872000,15.060000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.750667,0.124540,9.703000,9.657000,9.892000
spec_draft_max_0,3,10988.568667,631.370127,10935.505000,10385.405000,11644.796000,2077.715333,104.042672,2042.976000,1995.487000,2194.683000,8890.056000,670.034206,8712.815000,8326.461000,9630.892000,14.943667,3.582849,13.472000,12.331000,19.028000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.928333,0.338772,5.944000,5.582000,6.259000
speculative,3,10229.019667,1639.218938,9343.714000,9222.806000,12120.539000,2003.356333,221.590326,1953.224000,1811.127000,2245.718000,8204.593333,1422.771264,7392.201000,7374.144000,9847.435000,17.162667,5.129287,16.261000,12.544000,22.683000,67.333333,2.309401,66.000000,66.000000,70.000000,60.666667,1.527525,61.000000,59.000000,62.000000,44.666667,1.154701,44.000000,44.000000,46.000000,0.736336,0.013152,0.741935,0.721311,0.745763,6.665000,0.772134,7.064000,5.775000,7.156000
