mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,5,12008.329000,4922.620774,9771.635000,9580.148000,20806.774000,0.000000,0.000000,0.000000,0.000000,0.000000,11961.970400,4923.016914,9725.596000,9533.939000,20761.140000,35.399800,0.425230,35.360000,34.786000,35.822000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.684200,3.897344,16.476000,7.738000,16.806000
spec_draft_max_0,5,38430.684400,54504.541695,13674.342000,12964.311000,135903.604000,3718.726800,790.562100,3326.465000,3073.099000,4914.733000,34664.181800,53827.530771,10300.248000,9840.728000,130940.847000,35.666000,1.940423,36.605000,32.509000,37.361000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.468600,4.732632,11.774000,1.185000,12.419000
speculative,5,11059.674400,677.786418,10803.242000,10458.391000,12085.738000,3430.505600,224.816997,3389.558000,3243.639000,3804.084000,7588.812600,479.041697,7493.685000,7133.184000,8243.733000,34.274800,1.940250,34.820000,31.543000,36.322000,162.800000,1.095445,163.000000,161.000000,164.000000,142.400000,4.979960,145.000000,137.000000,147.000000,97.800000,4.086563,99.000000,91.000000,102.000000,0.687874,0.045739,0.682759,0.623288,0.744526,14.764600,0.911707,15.181000,13.487000,15.586000
