mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,5,14207.331800,2997.240312,12300.855000,11704.721000,17496.559000,0.000000,0.000000,0.000000,0.000000,0.000000,14150.527000,3003.724813,12236.490000,11643.431000,17446.311000,43.643400,4.233455,45.665000,38.536000,47.424000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.721200,2.305149,13.089000,9.202000,13.755000
spec_draft_max_0,5,17232.480400,3342.866422,16090.876000,14832.581000,23132.475000,4309.939200,943.936114,3976.465000,3661.740000,5980.090000,12864.250000,2401.472201,12008.383000,11117.266000,17098.191000,45.069000,3.103152,46.412000,40.712000,47.792000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.576000,1.507609,10.006000,6.960000,10.854000
speculative,5,18575.396200,8723.371038,14973.785000,13923.893000,34159.317000,5170.305200,2567.605363,4085.822000,3865.114000,9758.600000,13356.110400,6171.991992,10843.588000,9789.366000,24362.801000,42.426800,6.129199,44.246000,31.706000,46.414000,162.200000,1.643168,162.000000,161.000000,165.000000,137.200000,1.303840,137.000000,136.000000,139.000000,97.200000,4.764452,98.000000,91.000000,104.000000,0.708446,0.033557,0.720588,0.659420,0.748201,9.775400,2.783454,10.819000,4.830000,11.563000
