sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s
0,true_target_only,10219.982,0.000,10172.713,35.903,161,0,0,0.000000,15.753
1,spec_draft_max_0,14052.266,3411.284,10594.082,35.985,161,0,0,0.000000,11.457
2,speculative,14744.989,3558.097,11138.871,40.089,163,122,85,0.696721,11.055
3,true_target_only,11311.970,0.000,11260.850,39.192,161,0,0,0.000000,14.233
4,spec_draft_max_0,26525.707,7096.854,19375.086,42.832,161,0,0,0.000000,6.070
5,speculative,28594.624,6894.512,21658.972,35.648,162,125,80,0.640000,5.665
6,true_target_only,10851.564,0.000,10798.420,40.972,161,0,0,0.000000,14.837
7,spec_draft_max_0,20963.912,5056.937,15856.081,39.085,161,0,0,0.000000,7.680
8,speculative,25854.706,6231.078,19577.566,40.608,161,125,84,0.672000,6.227
9,true_target_only,10995.194,0.000,10939.923,42.364,161,0,0,0.000000,14.643
10,spec_draft_max_0,21257.090,5322.353,15887.026,36.763,161,0,0,0.000000,7.574
11,speculative,18342.105,4587.403,13708.227,40.489,162,114,91,0.798246,8.832
12,true_target_only,11780.170,0.000,11716.913,49.751,161,0,0,0.000000,13.667
13,spec_draft_max_0,16259.092,4354.860,11834.799,51.174,161,0,0,0.000000,9.902
14,speculative,14038.821,3567.225,10425.221,40.701,161,114,89,0.780702,11.468
