mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,5,9708.530200,101.599995,9679.999000,9603.689000,9870.785000,0.000000,0.000000,0.000000,0.000000,0.000000,9662.421400,101.500348,9633.779000,9557.637000,9824.417000,35.272400,0.134816,35.246000,35.140000,35.491000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.584800,0.172115,16.632000,16.311000,16.764000
spec_draft_max_0,5,13250.186600,506.866242,13052.857000,12726.610000,13956.931000,3212.574800,230.598056,3120.621000,3018.442000,3607.234000,9989.717000,308.417107,9882.455000,9660.330000,10328.428000,35.933200,1.795029,36.091000,33.216000,37.579000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.164600,0.458972,12.334000,11.535000,12.651000
speculative,5,10501.045200,459.260417,10588.967000,9875.268000,11133.830000,3502.296000,109.511824,3501.867000,3382.624000,3670.016000,6958.665000,468.740180,7022.744000,6400.957000,7589.394000,35.168400,3.577055,36.438000,28.925000,38.039000,165.400000,4.505552,163.000000,161.000000,172.000000,166.200000,3.420526,168.000000,162.000000,169.000000,109.800000,7.823043,107.000000,102.000000,120.000000,0.660880,0.049547,0.633136,0.619048,0.736196,15.771200,0.727005,15.448000,15.205000,17.012000
