mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,5,11031.776000,576.937250,10995.194000,10219.982000,11780.170000,0.000000,0.000000,0.000000,0.000000,0.000000,10977.763800,571.878976,10939.923000,10172.713000,11716.913000,41.636400,5.139663,40.972000,35.903000,49.751000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.626600,0.772830,14.643000,13.667000,15.753000
spec_draft_max_0,5,19811.613400,4855.067927,20963.912000,14052.266000,26525.707000,5048.457600,1363.124483,5056.937000,3411.284000,7096.854000,14709.414800,3523.828859,15856.081000,10594.082000,19375.086000,41.167800,6.194662,39.085000,35.985000,51.174000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.536600,2.129409,7.680000,6.070000,11.457000
speculative,5,20315.049000,6586.886142,18342.105000,14038.821000,28594.624000,4967.663000,1533.106740,4587.403000,3558.097000,6894.512000,15301.771400,5058.317068,13708.227000,10425.221000,21658.972000,39.507000,2.169837,40.489000,35.648000,40.701000,161.800000,0.836660,162.000000,161.000000,163.000000,120.000000,5.612486,122.000000,114.000000,125.000000,85.800000,4.324350,85.000000,80.000000,91.000000,0.717534,0.068961,0.696721,0.640000,0.798246,8.649400,2.671115,8.832000,5.665000,11.468000
