sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s,draft_vocab_convert_time_ms,draft_prompt_sync_time_ms,draft_decode_time_ms,draft_sampling_time_ms,draft_other_time_ms,draft_returned_tokens,draft_effective_tokens,target_verify_batch_tokens,draft_prompt_decode_calls,draft_prompt_decode_tokens,draft_decode_calls,draft_decode_tokens,target_verify_calls,draft_tok_per_s_in_spec,draft_decode_tok_per_s,verify_tok_per_s,draft_reuse_scan_time_ms,draft_kv_cache_edit_time_ms,draft_prompt_catchup_decode_time_ms,draft_eager_kv_decode_time_ms,draft_eager_kv_decode_calls,draft_eager_kv_decode_tokens
0,true_target_only,6588.408,0.000,6570.729,13.513,65,0,0,0.000000,9.866,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.892,0.000,0.000,0.000,0.000,0,0
1,spec_draft_max_0,11878.791,2113.770,9743.050,17.130,65,0,0,0.000000,5.472,0.000,602.863,1508.153,2.527,0.227,0,0,65,1,212,65,65,65,0.000,43.099,6.671,0.069,0.295,602.037,0.000,0,0
2,speculative,9271.081,2491.127,6763.245,13.864,65,63,42,0.666667,7.011,0.000,1362.938,1113.990,13.568,0.631,63,63,86,11,222,63,63,23,25.290,56.553,12.716,0.022,0.208,1361.351,0.000,0,0
3,true_target_only,7061.884,0.000,7043.267,14.652,65,0,0,0.000000,9.204,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.229,0.000,0.000,0.000,0.000,0,0
4,spec_draft_max_0,13380.067,3853.860,9506.832,13.428,65,0,0,0.000000,4.858,0.000,2726.090,1124.973,2.585,0.212,0,0,65,1,212,65,65,65,0.000,57.779,6.837,0.071,0.121,2725.482,0.000,0,0
5,speculative,8974.416,1684.784,7273.642,13.773,65,56,41,0.732143,7.243,0.000,726.714,944.680,13.258,0.132,56,56,80,10,221,56,56,24,33.239,59.279,10.999,0.025,0.190,725.692,0.000,0,0
6,true_target_only,7069.842,0.000,7051.457,14.473,65,0,0,0.000000,9.194,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.218,0.000,0.000,0.000,0.000,0,0
7,spec_draft_max_0,9732.807,1948.841,7763.409,16.231,65,0,0,0.000000,6.678,0.000,845.798,1100.129,2.716,0.198,0,0,65,1,212,65,65,65,0.000,59.084,8.373,0.078,0.126,844.090,0.000,0,0
8,speculative,7749.644,1751.065,5978.888,16.552,65,62,42,0.677419,8.387,0.000,641.706,1091.089,18.128,0.142,62,62,85,10,221,62,62,23,35.407,56.824,14.217,0.026,0.337,641.124,0.000,0,0
