mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,3,6906.711333,275.687489,7061.884000,6588.408000,7069.842000,0.000000,0.000000,0.000000,0.000000,0.000000,6888.484333,275.214658,7043.267000,6570.729000,7051.457000,14.212667,0.612503,14.473000,13.513000,14.652000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.421333,0.385125,9.204000,9.194000,9.866000
spec_draft_max_0,3,11663.888333,1833.102219,11878.791000,9732.807000,13380.067000,2638.823667,1055.478736,2113.770000,1948.841000,3853.860000,9004.430333,1081.226247,9506.832000,7763.409000,9743.050000,15.596333,1.930881,16.231000,13.428000,17.130000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.669333,0.925908,5.472000,4.858000,6.678000
speculative,3,8665.047000,806.520006,8974.416000,7749.644000,9271.081000,1975.658667,447.637124,1751.065000,1684.784000,2491.127000,6671.925000,652.189763,6763.245000,5978.888000,7273.642000,14.729667,1.578843,13.864000,13.773000,16.552000,65.000000,0.000000,65.000000,65.000000,65.000000,60.333333,3.785939,62.000000,56.000000,63.000000,41.666667,0.577350,42.000000,41.000000,42.000000,0.692076,0.035113,0.677419,0.666667,0.732143,7.547000,0.736652,7.243000,7.011000,8.387000
