mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,3,7064.464000,104.373815,7113.640000,6944.586000,7135.166000,0.000000,0.000000,0.000000,0.000000,0.000000,7045.426333,104.268106,7093.564000,6925.786000,7116.929000,14.605000,1.089167,14.297000,13.703000,15.815000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.202333,0.137209,9.137000,9.110000,9.360000
spec_draft_max_0,3,11014.288000,512.881695,10838.404000,10612.489000,11591.971000,2143.718333,125.280248,2079.581000,2063.493000,2288.081000,8847.998000,392.801861,8737.380000,8522.366000,9284.248000,16.974667,2.581397,15.745000,15.238000,19.941000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.909667,0.269817,5.997000,5.607000,6.125000
speculative,3,11105.869000,1272.196071,10798.534000,10015.494000,12503.579000,3392.521000,1225.438166,2729.610000,2641.336000,4806.617000,7694.151333,348.256825,7679.608000,7353.394000,8049.452000,16.767333,2.253221,16.869000,14.465000,18.968000,65.666667,1.154701,65.000000,65.000000,67.000000,62.000000,5.291503,60.000000,58.000000,68.000000,44.666667,1.154701,44.000000,44.000000,46.000000,0.724498,0.073422,0.733333,0.647059,0.793103,5.969333,0.746740,6.019000,5.199000,6.690000
