sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s,draft_vocab_convert_time_ms,draft_prompt_sync_time_ms,draft_decode_time_ms,draft_sampling_time_ms,draft_other_time_ms,draft_returned_tokens,draft_effective_tokens,target_verify_batch_tokens,draft_prompt_decode_calls,draft_prompt_decode_tokens,draft_decode_calls,draft_decode_tokens,target_verify_calls,draft_tok_per_s_in_spec,draft_decode_tok_per_s,verify_tok_per_s,draft_reuse_scan_time_ms,draft_kv_cache_edit_time_ms,draft_prompt_catchup_decode_time_ms
0,true_target_only,3308.782,0.000,3298.901,7.624,33,0,0,0.000000,9.973,0.000,0.000,0.000,0.000,0.000,0,0,33,0,0,0,0,33,0.000,0.000,10.003,0.000,0.000,0.000
1,spec_draft_max_0,6466.360,1495.876,4958.579,8.850,33,0,0,0.000000,5.103,0.000,646.390,846.729,2.645,0.112,0,0,33,1,212,33,33,33,0.000,38.974,6.655,0.041,0.115,645.845
2,speculative,6101.830,1553.342,4539.499,7.066,33,28,24,0.857143,5.408,0.000,639.309,905.651,8.314,0.068,28,28,37,5,216,28,28,9,18.026,30.917,8.151,0.011,0.058,639.063
3,true_target_only,3918.118,0.000,3906.931,8.623,33,0,0,0.000000,8.422,0.000,0.000,0.000,0.000,0.000,0,0,33,0,0,0,0,33,0.000,0.000,8.447,0.000,0.000,0.000
4,spec_draft_max_0,5304.503,1537.922,3756.947,7.333,33,0,0,0.000000,6.221,0.000,1004.259,532.112,1.434,0.117,0,0,33,1,212,33,33,33,0.000,62.017,8.784,0.036,0.065,1003.773
5,speculative,4743.678,1088.479,3647.051,7.026,34,31,26,0.838710,7.167,0.000,616.051,465.050,7.312,0.066,31,31,39,4,215,31,31,8,28.480,66.659,10.694,0.008,0.142,615.136
