sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s,draft_vocab_convert_time_ms,draft_prompt_sync_time_ms,draft_decode_time_ms,draft_sampling_time_ms,draft_other_time_ms,draft_returned_tokens,draft_effective_tokens,target_verify_batch_tokens,draft_prompt_decode_calls,draft_prompt_decode_tokens,draft_decode_calls,draft_decode_tokens,target_verify_calls,draft_tok_per_s_in_spec,draft_decode_tok_per_s,verify_tok_per_s,draft_reuse_scan_time_ms,draft_kv_cache_edit_time_ms,draft_prompt_catchup_decode_time_ms,draft_eager_kv_decode_time_ms,draft_eager_kv_decode_calls,draft_eager_kv_decode_tokens
0,true_target_only,885.940,0.000,882.797,2.532,9,0,0,0.000000,10.159,0.000,0.000,0.000,0.000,0.000,0,0,9,0,0,0,0,9,0.000,0.000,10.195,0.000,0.000,0.000,0.000,0,0
1,spec_draft_max_0,3056.966,960.616,2091.510,3.651,9,0,0,0.000000,2.944,0.000,777.835,181.901,0.847,0.033,0,0,9,1,212,9,9,9,0.000,49.477,4.303,0.010,0.113,776.838,0.000,0,0
2,speculative,6360.303,3085.919,3270.517,3.305,11,9,7,0.777778,1.729,0.000,2926.425,157.286,2.181,0.027,9,9,13,3,214,9,9,4,2.916,57.221,3.975,0.003,0.096,2926.171,0.000,0,0
