mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,3,6883.215333,471.772761,6799.157000,6459.122000,7391.367000,0.000000,0.000000,0.000000,0.000000,0.000000,6864.523333,473.272918,6780.939000,6438.611000,7374.020000,14.307333,1.519796,13.731000,13.160000,16.031000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.472333,0.639026,9.560000,8.794000,10.063000
spec_draft_max_0,3,11613.113000,2038.109111,12081.784000,9381.492000,13376.063000,1909.032333,303.781592,1897.735000,1611.057000,2218.305000,9685.743000,1860.020966,9845.767000,7750.880000,11460.582000,13.738667,1.433964,12.945000,12.877000,15.394000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.722667,1.076703,5.380000,4.859000,6.929000
speculative,3,10322.209667,1012.897180,10872.963000,9153.265000,10940.401000,2686.017333,1019.521074,2329.159000,1892.895000,3835.998000,7617.613667,788.890499,7243.227000,7085.624000,8523.990000,15.393667,1.000001,15.395000,14.393000,16.393000,67.000000,2.645751,66.000000,65.000000,70.000000,66.000000,4.582576,67.000000,61.000000,70.000000,44.333333,4.041452,45.000000,40.000000,48.000000,0.675184,0.090483,0.716418,0.571429,0.737705,6.553000,0.948696,6.033000,5.978000,7.648000
