mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,5,10103.467400,138.826402,10153.266000,9859.682000,10194.132000,0.000000,0.000000,0.000000,0.000000,0.000000,10058.472200,138.183932,10108.248000,9815.951000,10150.325000,33.980400,1.538190,34.374000,32.002000,36.007000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.937600,0.222694,15.857000,15.793000,16.329000
spec_draft_max_0,5,13589.100600,288.598239,13595.715000,13166.401000,13981.511000,3213.387800,75.560891,3200.663000,3132.898000,3300.721000,10329.792600,233.152638,10352.395000,9985.501000,10632.902000,35.041800,1.794721,35.017000,32.577000,37.271000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.851800,0.252796,11.842000,11.515000,12.228000
speculative,5,12539.739800,843.122148,12573.283000,11611.626000,13595.309000,3112.049200,159.754793,3200.994000,2889.850000,3252.735000,9386.144200,704.725231,9311.134000,8575.529000,10298.150000,34.299200,1.818687,34.764000,31.596000,35.938000,161.600000,0.547723,162.000000,161.000000,162.000000,95.000000,4.743416,95.000000,88.000000,101.000000,66.600000,5.176872,67.000000,60.000000,74.000000,0.704686,0.091051,0.705263,0.594059,0.840909,12.935600,0.905891,12.884000,11.842000,13.952000
