sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s
0,true_target_only,9859.682,0.000,9815.951,32.002,161,0,0,0.000000,16.329
1,spec_draft_max_0,13595.715,3200.663,10352.395,32.577,161,0,0,0.000000,11.842
2,speculative,11805.898,2889.850,8877.109,31.596,162,95,67,0.705263,13.722
3,true_target_only,10194.132,0.000,10150.325,32.988,161,0,0,0.000000,15.793
4,spec_draft_max_0,13166.401,3132.898,9985.501,37.271,161,0,0,0.000000,12.228
5,speculative,11611.626,2996.569,8575.529,33.407,162,88,74,0.840909,13.952
6,true_target_only,10153.266,0.000,10108.248,34.374,161,0,0,0.000000,15.857
7,spec_draft_max_0,13591.694,3150.934,10395.408,34.222,161,0,0,0.000000,11.845
8,speculative,12573.283,3220.098,9311.134,34.764,162,94,68,0.723404,12.884
9,true_target_only,10126.650,0.000,10081.004,34.531,161,0,0,0.000000,15.899
10,spec_draft_max_0,13610.182,3281.723,10282.757,35.017,161,0,0,0.000000,11.829
11,speculative,13595.309,3252.735,10298.150,35.938,161,101,60,0.594059,11.842
12,true_target_only,10183.607,0.000,10136.833,36.007,161,0,0,0.000000,15.810
13,spec_draft_max_0,13981.511,3300.721,10632.902,36.122,161,0,0,0.000000,11.515
14,speculative,13112.583,3200.994,9868.799,35.791,161,97,64,0.659794,12.278
