mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,5,11943.480200,511.630266,11646.853000,11628.610000,12817.416000,0.000000,0.000000,0.000000,0.000000,0.000000,11880.305200,505.879369,11587.243000,11568.289000,12743.818000,48.907800,4.906751,47.233000,45.806000,57.570000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.499000,0.552916,13.823000,12.561000,13.845000
spec_draft_max_0,5,16061.852600,627.526708,15709.883000,15511.482000,16924.426000,3936.790400,156.893594,3871.851000,3817.436000,4188.281000,12066.753200,481.499767,11776.954000,11634.549000,12687.826000,44.771600,3.839758,46.651000,38.014000,46.981000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.035600,0.385194,10.248000,9.513000,10.379000
speculative,5,14861.540800,1440.013853,15455.269000,13194.270000,16169.451000,4118.439000,96.915397,4128.092000,4014.868000,4242.834000,10690.093000,1383.524806,11370.256000,9130.394000,11941.017000,46.358600,1.835385,47.442000,44.050000,48.081000,162.400000,1.949359,161.000000,161.000000,165.000000,150.200000,5.718391,149.000000,144.000000,159.000000,99.800000,13.179530,92.000000,89.000000,117.000000,0.665823,0.096890,0.618056,0.578616,0.785235,11.014600,1.132154,10.417000,9.957000,12.281000
