sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s,draft_vocab_convert_time_ms,draft_prompt_sync_time_ms,draft_decode_time_ms,draft_sampling_time_ms,draft_other_time_ms,draft_returned_tokens,draft_effective_tokens,target_verify_batch_tokens,draft_prompt_decode_calls,draft_prompt_decode_tokens,draft_decode_calls,draft_decode_tokens,target_verify_calls,draft_tok_per_s_in_spec,draft_decode_tok_per_s,verify_tok_per_s,draft_reuse_scan_time_ms,draft_kv_cache_edit_time_ms,draft_prompt_catchup_decode_time_ms,draft_eager_kv_decode_time_ms,draft_eager_kv_decode_calls,draft_eager_kv_decode_tokens
0,true_target_only,6570.915,0.000,6551.467,15.060,65,0,0,0.000000,9.892,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.921,0.000,0.000,0.000,0.000,0,0
1,spec_draft_max_0,10935.505,2194.683,8712.815,19.028,65,0,0,0.000000,5.944,0.000,872.020,1319.197,3.240,0.226,0,0,65,1,212,65,65,65,0.000,49.272,7.460,0.131,0.126,871.329,0.000,0,0
2,speculative,12120.539,2245.718,9847.435,22.683,70,62,46,0.741935,5.775,0.000,1107.470,1121.592,16.465,0.191,62,62,86,11,222,62,62,24,27.608,55.279,8.733,0.028,0.199,1107.060,0.000,0,0
3,true_target_only,6731.132,0.000,6711.415,14.872,65,0,0,0.000000,9.657,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.685,0.000,0.000,0.000,0.000,0,0
4,spec_draft_max_0,10385.405,2042.976,8326.461,12.331,65,0,0,0.000000,6.259,0.000,957.489,1082.391,2.911,0.185,0,0,65,1,212,65,65,65,0.000,60.052,7.806,0.059,0.123,956.158,0.000,0,0
5,speculative,9222.806,1811.127,7392.201,16.261,66,61,44,0.721311,7.156,0.000,739.765,1056.589,14.389,0.384,61,61,83,10,221,61,61,22,33.681,57.733,11.228,0.029,0.166,739.392,0.000,0,0
6,true_target_only,6699.122,0.000,6679.882,14.948,65,0,0,0.000000,9.703,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.731,0.000,0.000,0.000,0.000,0,0
7,spec_draft_max_0,11644.796,1995.487,9630.892,13.472,65,0,0,0.000000,5.582,0.000,706.422,1286.181,2.698,0.186,0,0,65,1,212,65,65,65,0.000,50.537,6.749,0.069,0.079,706.100,0.000,0,0
8,speculative,9343.714,1953.224,7374.144,12.544,66,59,44,0.745763,7.064,0.000,773.944,1165.211,13.718,0.351,59,59,81,9,220,59,59,22,30.206,50.635,10.984,0.023,0.158,773.557,0.000,0,0
