mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,3,7515.398333,723.139505,7268.593000,6947.971000,8329.631000,0.000000,0.000000,0.000000,0.000000,0.000000,7496.886667,723.709499,7250.249000,6928.734000,8311.677000,14.157000,0.546654,14.116000,13.632000,14.723000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.700333,0.803954,8.943000,7.803000,9.355000
spec_draft_max_0,3,12549.456667,1444.749435,11938.796000,11510.309000,14199.265000,2698.059000,1048.207700,2213.998000,1979.359000,3900.820000,9830.224333,508.250549,9939.435000,9276.246000,10274.992000,15.826333,1.570419,15.375000,14.531000,17.573000,65.000000,0.000000,65.000000,65.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.223000,0.567733,5.444000,4.578000,5.647000
speculative,3,9628.230667,289.536637,9591.537000,9358.790000,9934.365000,2536.682667,17.964829,2534.118000,2520.138000,2555.792000,7074.028000,296.812798,7018.964000,6808.603000,7394.517000,15.140000,0.661753,15.093000,14.503000,15.824000,66.000000,1.000000,66.000000,65.000000,67.000000,58.666667,4.509250,59.000000,54.000000,63.000000,43.333333,0.577350,43.000000,43.000000,44.000000,0.741533,0.056996,0.745763,0.682540,0.796296,6.860000,0.276566,6.985000,6.543000,7.052000
