mode,count,total_decode_time_ms_mean,total_decode_time_ms_std,total_decode_time_ms_median,total_decode_time_ms_min,total_decode_time_ms_max,draft_time_ms_mean,draft_time_ms_std,draft_time_ms_median,draft_time_ms_min,draft_time_ms_max,target_verify_time_ms_mean,target_verify_time_ms_std,target_verify_time_ms_median,target_verify_time_ms_min,target_verify_time_ms_max,accept_reject_time_ms_mean,accept_reject_time_ms_std,accept_reject_time_ms_median,accept_reject_time_ms_min,accept_reject_time_ms_max,generated_tokens_mean,generated_tokens_std,generated_tokens_median,generated_tokens_min,generated_tokens_max,drafted_tokens_mean,drafted_tokens_std,drafted_tokens_median,drafted_tokens_min,drafted_tokens_max,accepted_tokens_mean,accepted_tokens_std,accepted_tokens_median,accepted_tokens_min,accepted_tokens_max,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_median,acceptance_rate_min,acceptance_rate_max,decode_tok_per_s_mean,decode_tok_per_s_std,decode_tok_per_s_median,decode_tok_per_s_min,decode_tok_per_s_max
true_target_only,3,37736.992000,3521.257309,37692.872000,34238.002000,41280.102000,0.000000,0.000000,0.000000,0.000000,0.000000,37677.993667,3506.388824,37629.518000,34196.094000,41208.369000,45.719667,12.351379,48.917000,32.084000,56.158000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.291000,0.401374,4.271000,3.900000,4.702000
spec_draft_max_0,2,56485.980500,4974.778341,56485.980500,52968.281000,60003.680000,7028.607500,190.861555,7028.607500,6893.648000,7163.567000,49384.260500,5153.723026,49384.260500,45740.028000,53028.493000,54.913000,7.803630,54.913000,49.395000,60.431000,161.000000,0.000000,161.000000,161.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.861500,0.252437,2.861500,2.683000,3.040000
speculative,2,57718.783500,875.226368,57718.783500,57099.905000,58337.662000,10443.815500,1732.457576,10443.815500,9218.783000,11668.848000,47214.105500,860.107011,47214.105500,46605.918000,47822.293000,51.549000,1.955857,51.549000,50.166000,52.932000,161.500000,0.707107,161.500000,161.000000,162.000000,152.000000,1.414214,152.000000,151.000000,153.000000,94.500000,7.778175,94.500000,89.000000,100.000000,0.621976,0.056960,0.621976,0.581699,0.662252,2.798500,0.054447,2.798500,2.760000,2.837000
