sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s,draft_vocab_convert_time_ms,draft_prompt_sync_time_ms,draft_decode_time_ms,draft_sampling_time_ms,draft_other_time_ms,draft_returned_tokens,draft_effective_tokens,target_verify_batch_tokens,draft_prompt_decode_calls,draft_prompt_decode_tokens,draft_decode_calls,draft_decode_tokens,target_verify_calls,draft_tok_per_s_in_spec,draft_decode_tok_per_s,verify_tok_per_s,draft_reuse_scan_time_ms,draft_kv_cache_edit_time_ms,draft_prompt_catchup_decode_time_ms,draft_eager_kv_decode_time_ms,draft_eager_kv_decode_calls,draft_eager_kv_decode_tokens
0,true_target_only,895.483,0.000,892.192,2.510,9,0,0,0.000000,10.050,0.000,0.000,0.000,0.000,0.000,0,0,9,0,0,0,0,9,0.000,0.000,10.088,0.000,0.000,0.000,0.000,0,0
1,spec_draft_max_0,3005.293,798.419,2202.650,3.489,9,0,0,0.000000,2.995,0.000,574.651,223.322,0.386,0.060,0,0,9,1,212,9,9,9,0.000,40.301,4.086,0.007,0.064,574.309,0.000,0,0
2,speculative,4427.358,855.233,3567.962,2.558,9,7,5,0.714286,2.033,0.000,678.823,173.909,2.468,0.033,7,7,11,1,212,11,11,4,8.185,63.251,3.083,0.003,0.116,678.506,58.688,4,4
